"row_id","source","lat_deg","lon_deg","report_date","status_id","water_source_clean","water_source_category","water_tech_clean","_water_tech_category","facility_type","clean_country_name","clean_adm1","clean_adm2","clean_adm3","clean_adm4","install_year","installer","rehab_year","rehabilitator","management_clean","status_clean","pay","fecal_coliform_presence","fecal_coliform_value","subjective_quality","activity_id","scheme_id","wpdx_id","notes","orig_lnk","photo_lnk","country_id","data_lnk","distance_to_primary","distance_to_secondary","distance_to_tertiary","distance_to_city","distance_to_town","water_point_history","rehab_priority","served_population","local_population","crucialness","pressure","usage_cap","is_urban","days_since_report","staleness_score","is_latest","location_id","cluster_size","clean_country_id","country_name","water_source","water_tech","status","adm2","adm3","management","adm1","new_georeferenced_column_","lat_deg_original","lat_lon_deg","lon_deg_original","public_data_source","converted","count","created_timestamp","updated"
"429068","GRID3","7.98","5.12","2018-08-29T00:00:00.000","Unknown",,,"Tapstand","Tapstand","Improved","Nigeria","Ekiti","Moba",,,,,,,,,,,,,"1a117ba2-5256-4801-874c-f7611a4499dd",,"6FV7X4JC+222","Tap Water","https://nigeria.africageoportal.com/datasets/GRID3::grid3-nigeria-water-points/about",,"NG","https://catalog.waterpointdata.org/datasets/grid3-nigeria-water-points-61ae7cd9","767.3742287178657","921.7918739087823","3146.7332369516425","41049.943721676034","959.3649821198868","{""2018-08-29"": {""source"": ""GRID3"", ""status_id"": ""Unknown"", ""water_tech_clean"": ""Tapstand""}}",,,,,,"250","True","1483","62.65910617545588","true","358773","1","NGA","Nigeria","Tap",,,,,,,"POINT (5.12 7.98)",,"(7.98°, 5.12°)",,"https://catalog.waterpointdata.org/datafiles/grid3-nigeria-water-points-61ae7cd9.csv",,"1","2021-12-06T21:12:57.000","2021-12-06T21:12:57.000"
"222071","Federal Ministry of Water Resources, Nigeria","6.9645317","3.5976683","2015-08-16T00:00:00.000","Yes","Borehole","Well","Mechanized Pump","Mechanized Pump","Improved","Nigeria","Ogun","Obafemi-Owode",,,,,,,"Other","Functional","No",,,"Acceptable quality",,,"6FR5XH7X+R37","Ajura",,,"NG","https://catalog.waterpointdata.org/datasets/federal-ministry-of-water-resources-nigeria-5efb3667","13364.900507254648","48.87743403043152","4167.519068295938","13898.649118819856","9405.782849571628","{""2015-08-16"": {""source"": ""Federal Ministry of Water Resources, Nigeria"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Mechanized Pump""}}",,"140","887","0.15783540022547915","0.14","1000","False","2592","44.17405340562499","true","264633","1","NGA","Nigeria","Improved Tube well or borehole","Motorised","Functional (and in use)","Obafemi-Owode",,"Other","Ogun","POINT (3.5976683 6.9645317)",,"(6.9645317°, 3.5976683°)",,"https://catalog.waterpointdata.org/datafiles/federal-ministry-of-water-resources-nigeria-5efb3667.xlsx","#status_id, #water_source, #pay, #status, #management","1","2020-06-30T12:56:07.000","2020-06-30T12:56:07.000"
"160612","WaterAid","6.48694","7.92972","2020-12-04T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Nigeria","Ebonyi","Ohaukwu",,,,,,,,,,,,,,,"6FR9FWPH+QVH",,,,"NG","https://catalog.waterpointdata.org/datasets/rain-nigeria-5fe0f6d7","9492.761873344207","4333.342795118949","693.2112044311295","27381.9216396011","72060.11774806817","{""2020-12-04"": {""source"": ""WaterAid"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","0",,,"300","False","655","81.34550235591817","true","397972","1","NGA","Nigeria","Borehole fitted with Handpump",,,,,,"Enugu","POINT (7.92972 6.48694)",,"(6.48694°, 7.92972°)",,"https://catalog.waterpointdata.org/datafiles/rain-nigeria-5fe0f6d7.xlsx",,"1","2020-12-21T19:26:15.000","2020-12-21T19:26:15.000"
"160669","WaterAid","6.72757","7.64867","2020-12-04T00:00:00.000","Yes","Borehole","Well",,,"Improved","Nigeria","Enugu","Isi-Uzo",,,,,,,,,,,,,,,"6FR9PJHX+2FF",,,,"NG","https://catalog.waterpointdata.org/datasets/rain-nigeria-5fe0f6d7","9319.081468376238","23276.332274264412","307.71619369883086","34823.60546698532","31665.447338550523","{""2020-12-04"": {""source"": ""WaterAid"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole""}}",,"492","492","1.0","1.64","300","False","655","81.34550235591817","true","397984","1","NGA","Nigeria","Gen. set powered borehole",,,,,,"Enugu","POINT (7.64867 6.72757)",,"(6.72757°, 7.64867°)",,"https://catalog.waterpointdata.org/datafiles/rain-nigeria-5fe0f6d7.xlsx",,"1","2020-12-21T19:26:15.000","2020-12-21T19:26:15.000"
"160642","WaterAid","6.7799","7.66485","2020-12-04T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Nigeria","Enugu","Isi-Uzo",,,,,,,,,,,,,,,"6FR9QMH7+XW9",,,,"NG","https://catalog.waterpointdata.org/datasets/rain-nigeria-5fe0f6d7","5437.714146555785","18783.56566041645","134.61209898059184","40785.885226451","31240.903827020527","{""2020-12-04"": {""source"": ""WaterAid"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"868","1919","0.45231891610213654","2.8933333333333335","300","False","655","81.34550235591817","true","397982","1","NGA","Nigeria","Borehole fitted with Handpump",,,,,,"Enugu","POINT (7.66485 6.7799)",,"(6.7799°, 7.66485°)",,"https://catalog.waterpointdata.org/datafiles/rain-nigeria-5fe0f6d7.xlsx",,"1","2020-12-21T19:26:15.000","2020-12-21T19:26:15.000"
"160628","WaterAid","6.95556","7.77917","2020-12-04T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Nigeria","Benue","Okpokwu",,,,,,,,,,,,,,,"6FR9XQ4H+6MF",,,,"NG","https://catalog.waterpointdata.org/datasets/rain-nigeria-5fe0f6d7","15924.897078960861","5405.461374723247","1970.2182884474182","46971.32411294574","44105.50036379637","{""2020-12-04"": {""source"": ""WaterAid"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"81","81","1.0","0.27","300","False","655","81.34550235591817","true","397976","1","NGA","Nigeria","Borehole fitted with Handpump",,,,,,"Enugu","POINT (7.77917 6.95556)",,"(6.95556°, 7.77917°)",,"https://catalog.waterpointdata.org/datafiles/rain-nigeria-5fe0f6d7.xlsx",,"1","2020-12-21T19:26:15.000","2020-12-21T19:26:15.000"
"160632","WaterAid","7.01778","7.84167","2020-12-04T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Nigeria","Benue","Okpokwu",,,,,,,,,,,,,,,"6FV92R9R+4M7",,,,"NG","https://catalog.waterpointdata.org/datasets/rain-nigeria-5fe0f6d7","24001.900020926987","2251.274261991024","4376.813773974134","37454.57285749929","45753.40583498883","{""2020-12-04"": {""source"": ""WaterAid"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","0",,,"300","False","655","81.34550235591817","true","397979","1","NGA","Nigeria","Borehole fitted with Handpump",,,,,,"Enugu","POINT (7.84167 7.01778)",,"(7.01778°, 7.84167°)",,"https://catalog.waterpointdata.org/datafiles/rain-nigeria-5fe0f6d7.xlsx",,"1","2020-12-21T19:26:15.000","2020-12-21T19:26:15.000"
"642747","Living Water International","7.3255","8.985","2016-10-03T00:00:00.000","Yes","Borehole","Well","Mechanized Pump","Mechanized Pump","Improved","Nigeria","Benue","Gboko",,,"2016",,,,,,,,,,"NG160302LWI001005RNM",,"6FVC8XGP+622",,,,"NG","https://catalog.waterpointdata.org/datasets/test-5f17499e","1633.9414436790125","354.1738109977141","175.99847385611713","66655.9057544157","37337.05213567889","{""2016-10-03"": {""source"": ""Living Water International"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Mechanized Pump""}}",,"9969","13740","0.7255458515283842","9.969","1000","True","2178","50.33173796585617","true","321462","1","NGA","Nigeria","Borehole","Submersible",,,,,,"POINT (8.985 7.3255)",,"(7.3255°, 8.985°)",,"https://catalog.waterpointdata.org/datafiles/test-5f17499e.csv",,"1","2020-07-21T20:01:34.000","2020-07-21T20:01:34.000"
"642456","Living Water International","7.171666667","9.11","2016-10-03T00:00:00.000","Yes","Borehole","Well","Hand Pump - India Mark III","Hand Pump","Improved","Nigeria","Benue","Bukuru",,,"2016",,,,,,,,,,"NG160115LOI001004RNM",,"6FVF54C6+M26",,,,"NG","https://catalog.waterpointdata.org/datasets/test-5f17499e","8213.033013974586","18316.991751752532","805.8909200479816","88380.41069803367","19153.49743041174","{""2016-10-03"": {""source"": ""Living Water International"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump - India Mark III""}}",,"933","933","1.0","3.11","300","False","2178","50.33173796585617","true","321460","1","NGA","Nigeria","Borehole","India Mark III",,,,,,"POINT (9.11 7.171666667)",,"(7.171666667°, 9.11°)",,"https://catalog.waterpointdata.org/datafiles/test-5f17499e.csv",,"1","2020-07-21T20:01:34.000","2020-07-21T20:01:34.000"
"641347","Living Water International","7.204866667","9.216866667","2015-03-28T00:00:00.000","Yes","Borehole","Well","Hand Pump - India Mark III","Hand Pump","Improved","Nigeria","Benue","Bukuru",,,"2015",,,,,,,,,,"NG150127LOI001004RNM",,"6FVF6638+WPX",,,,"NG","https://catalog.waterpointdata.org/datasets/test-5f17499e","20473.389096994673","10939.38491785744","460.30859886866824","94855.62560722536","8470.017875947424","{""2015-03-28"": {""source"": ""Living Water International"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump - India Mark III""}}",,"1998","11854","0.16855070018559137","6.66","300","False","2733","42.25372558654068","true","224403","1","NGA","Nigeria","Borehole","India Mark III",,,,,,"POINT (9.216866667 7.204866667)",,"(7.204866667°, 9.216866667°)",,"https://catalog.waterpointdata.org/datafiles/test-5f17499e.csv",,"1","2020-07-21T20:01:34.000","2020-07-21T20:01:34.000"
"642749","Living Water International","7.320666667","9.020666667","2016-12-03T00:00:00.000","Yes","Borehole","Well","Mechanized Pump","Mechanized Pump","Improved","Nigeria","Benue","Gboko",,,"2016",,,,,,,,,,"NG160302LWI003005RNM",,"6FVF82CC+777",,,,"NG","https://catalog.waterpointdata.org/datasets/test-5f17499e","117.8910582808549","2715.5504103007606","1483.6745145765146","69963.18350159586","33638.27446487355","{""2016-12-03"": {""source"": ""Living Water International"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Mechanized Pump""}}",,"4222","22331","0.1890645291299091","4.222","1000","True","2117","51.30888101406052","true","328268","1","NGA","Nigeria","Borehole","Submersible",,,,,,"POINT (9.020666667 7.320666667)",,"(7.320666667°, 9.020666667°)",,"https://catalog.waterpointdata.org/datafiles/test-5f17499e.csv",,"1","2020-07-21T20:01:34.000","2020-07-21T20:01:34.000"
"415098","GRID3","5.21","7.5","2018-06-06T00:00:00.000","Unknown","Borehole","Well",,,"Improved","Nigeria","Abia","Obi Ngwa",,,,,,,,,,,,,"a6f0de26-7846-40b6-b04b-d53813a08766",,"6FQ96G62+222","UmuoparaWaterpoint","https://nigeria.africageoportal.com/datasets/GRID3::grid3-nigeria-water-points/about",,"NG","https://catalog.waterpointdata.org/datasets/grid3-nigeria-water-points-61ae7cd9","3063.227173586972","4289.661137110708","67.99656689281196","18490.12125733874","32489.983160961587","{""2018-06-06"": {""source"": ""GRID3"", ""status_id"": ""Unknown"", ""water_source_clean"": ""Borehole""}}","94","94","260","0.36153846153846153","0.31333333333333335","300","False","1567","61.02179604306595","true","355301","1","NGA","Nigeria","Borehole",,,,,,,"POINT (7.5 5.21)",,"(5.21°, 7.5°)",,"https://catalog.waterpointdata.org/datafiles/grid3-nigeria-water-points-61ae7cd9.csv",,"1","2021-12-06T21:12:57.000","2021-12-06T21:12:57.000"
"414001","GRID3","4.97","8.44","2018-05-21T00:00:00.000","Unknown","Borehole","Well",,,"Improved","Nigeria","Cross River","Akpabuyo",,,,,,,,,,,,,"1b7039c9-8dcf-4369-9e70-c65daf4b37fd",,"6FPCXCCR+222","Asuquo Borehole","https://nigeria.africageoportal.com/datasets/GRID3::grid3-nigeria-water-points/about",,"NG","https://catalog.waterpointdata.org/datasets/grid3-nigeria-water-points-61ae7cd9","2517.9807414107836","9238.13421928541","3151.361051730959","11432.511590369439","22201.913293577003","{""2018-05-21"": {""source"": ""GRID3"", ""status_id"": ""Unknown"", ""water_source_clean"": ""Borehole""}}","628","628","666","0.9429429429429429","2.0933333333333333","300","False","1583","60.71481281229495","true","354738","1","NGA","Nigeria","Borehole",,,,,,,"POINT (8.44 4.97)",,"(4.97°, 8.44°)",,"https://catalog.waterpointdata.org/datafiles/grid3-nigeria-water-points-61ae7cd9.csv",,"1","2021-12-06T21:12:57.000","2021-12-06T21:12:57.000"
"429336","GRID3","5.92","6.83","2018-09-28T00:00:00.000","Unknown","Borehole","Well",,,"Improved","Nigeria","Anambra","Ekwusigo",,,,,,,,,,,,,"b2d1947f-a0e8-43ad-9048-7e2dfebe5e55",,"6FQ8WRCJ+222","Ubahu Water Point","https://nigeria.africageoportal.com/datasets/GRID3::grid3-nigeria-water-points/about",,"NG","https://catalog.waterpointdata.org/datasets/grid3-nigeria-water-points-61ae7cd9","12867.327039333566","1817.277424041161","3201.7819098462273","23946.976069744404","7893.993056433433","{""2018-09-28"": {""source"": ""GRID3"", ""status_id"": ""Unknown"", ""water_source_clean"": ""Borehole""}}","11742","11742","11742","1.0","39.14","300","True","1453","63.25444593106931","true","360314","1","NGA","Nigeria","Borehole",,,,,,,"POINT (6.83 5.92)",,"(5.92°, 6.83°)",,"https://catalog.waterpointdata.org/datafiles/grid3-nigeria-water-points-61ae7cd9.csv",,"1","2021-12-06T21:12:57.000","2021-12-06T21:12:57.000"
"471369","GRID3","5.93","6.82","2018-09-28T00:00:00.000","Unknown","Borehole","Well",,,"Improved","Nigeria","Anambra","Ekwusigo",,,,,,,,,,,,,"81d08fc3-2f45-45bf-8ce4-f83ffe8fe7d4",,"6FQ8WRJC+222","Borehole","https://nigeria.africageoportal.com/datasets/GRID3::grid3-nigeria-water-points/about",,"NG","https://catalog.waterpointdata.org/datasets/grid3-nigeria-water-points-61ae7cd9","12943.546532690094","3360.795651349535","3661.850404104068","22682.922086421375","9379.433417242944","{""2018-09-28"": {""source"": ""GRID3"", ""status_id"": ""Unknown"", ""water_source_clean"": ""Borehole""}}","5413","5413","5413","1.0","18.043333333333333","300","True","1453","63.25444593106931","true","360477","1","NGA","Nigeria","Borehole",,,,,,,"POINT (6.82 5.93)",,"(5.93°, 6.82°)",,"https://catalog.waterpointdata.org/datafiles/grid3-nigeria-water-points-61ae7cd9.csv",,"1","2021-12-06T21:12:57.000","2021-12-06T21:12:57.000"
"415323","GRID3","5.22","7.39","2018-06-06T00:00:00.000","Unknown","Borehole","Well",,,"Improved","Nigeria","Abia","Isiala Ngwa South",,,,,,,,,,,,,"2c87c567-148b-4112-9147-93655b7a2307",,"6FQ969CR+222","Umuoko Waterpoint","https://nigeria.africageoportal.com/datasets/GRID3::grid3-nigeria-water-points/about",,"NG","https://catalog.waterpointdata.org/datasets/grid3-nigeria-water-points-61ae7cd9","8247.76000293036","66.89406915570827","982.622034011138","12197.879513196596","22634.380928721643","{""2018-06-06"": {""source"": ""GRID3"", ""status_id"": ""Unknown"", ""water_source_clean"": ""Borehole""}}","2949","2949","2949","1.0","9.83","300","False","1567","61.02179604306595","true","355429","1","NGA","Nigeria","Borehole",,,,,,,"POINT (7.39 5.22)",,"(5.22°, 7.39°)",,"https://catalog.waterpointdata.org/datafiles/grid3-nigeria-water-points-61ae7cd9.csv",,"1","2021-12-06T21:12:57.000","2021-12-06T21:12:57.000"
